marital_status,application_mode,application_order,course,daytime/evening_attendance,previous_qualification,previous_qualification_(grade),nationality,mothers_qualification,fathers_qualification,mothers_occupation,fathers_occupation,admission_grade,displaced,educational_special_needs,debtor,tuition_fees_up_to_date,gender,scholarship_holder,age_at_enrollment,international,curricular_units_1st_sem_(credited),curricular_units_1st_sem_(enrolled),curricular_units_1st_sem_(evaluations),curricular_units_1st_sem_(approved),curricular_units_1st_sem_(grade),curricular_units_1st_sem_(without_evaluations),curricular_units_2nd_sem_(credited),curricular_units_2nd_sem_(enrolled),curricular_units_2nd_sem_(evaluations),curricular_units_2nd_sem_(approved),curricular_units_2nd_sem_(grade),curricular_units_2nd_sem_(without_evaluations),unemployment_rate,inflation_rate,gdp,target
Single,4,5,0,Daytime,1,122.0,0,6,3,25,43,127.3,Yes,No,No,Yes,Male,No,20,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,0
Single,2,1,10,Daytime,1,160.0,0,0,15,23,37,142.5,Yes,No,No,No,Male,No,19,No,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,2
Single,0,5,4,Daytime,1,122.0,0,17,22,29,43,124.8,Yes,No,No,No,Male,No,19,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,0
Single,4,2,14,Daytime,1,122.0,0,18,22,25,37,119.6,Yes,No,No,Yes,Female,No,20,No,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,2
Married,9,1,2,Evening,1,100.0,0,17,23,29,43,141.5,No,No,No,Yes,Female,No,45,No,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,2
Married,9,1,16,Evening,19,133.1,0,17,22,29,41,114.8,No,No,Yes,Yes,Male,No,50,No,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,2
Single,0,1,11,Daytime,1,142.0,0,6,23,27,2,128.4,Yes,No,No,Yes,Female,Yes,18,No,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,2
Single,5,4,10,Daytime,1,119.0,0,17,22,29,43,113.1,Yes,No,No,No,Male,No,22,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,0
Single,0,3,9,Daytime,1,137.0,20,0,0,29,43,129.3,No,No,No,Yes,Female,Yes,21,Yes,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,16.2,0.3,-0.92,2
Single,0,1,9,Daytime,1,138.0,0,0,7,24,41,123.0,Yes,No,Yes,No,Female,No,18,No,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,0
Single,0,1,13,Daytime,1,139.0,0,18,7,25,41,130.6,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,2
Single,0,1,11,Daytime,1,136.0,0,6,23,29,43,119.3,Yes,No,No,Yes,Female,Yes,18,No,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,2
Single,0,2,15,Daytime,1,133.0,0,6,22,24,43,130.2,Yes,No,No,Yes,Female,No,19,No,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,0
Single,15,1,10,Daytime,42,110.0,0,0,0,24,41,111.8,Yes,No,No,Yes,Female,Yes,21,No,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,2
Single,0,1,5,Daytime,1,149.0,0,18,22,25,39,137.1,Yes,No,No,Yes,Female,Yes,18,No,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,2
Single,0,1,14,Daytime,1,127.0,0,6,22,29,37,120.7,Yes,No,No,Yes,Female,No,20,No,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,0
